time,Actual Load,Fossil Gas,Hydro Water Reservoir,Marine,Nuclear,Other,Solar,Wind Onshore,renewable
2020-01-03 21:00:00+01:00,17357.0,0.0,5443.0,0.0,7766.0,1304.0,0.0,7028.0,12471.0
2020-01-03 22:00:00+01:00,16612.0,0.0,4805.0,0.0,7766.0,1293.0,0.0,7167.0,11972.0
2020-01-03 23:00:00+01:00,16127.0,0.0,4350.0,0.0,7767.0,1276.0,0.0,7309.0,11659.0
2020-01-04 00:00:00+01:00,15694.0,0.0,3925.0,0.0,7766.0,1283.0,0.0,7362.0,11287.0
2020-01-04 01:00:00+01:00,15479.0,0.0,3605.0,0.0,7772.0,1253.0,0.0,7347.0,10952.0
2020-01-04 02:00:00+01:00,15406.0,0.0,3478.0,0.0,7775.0,1225.0,0.0,7231.0,10709.0
2020-01-04 03:00:00+01:00,15511.0,0.0,3372.0,0.0,7780.0,1209.0,0.0,7026.0,10398.0
2020-01-04 04:00:00+01:00,15660.0,0.0,3220.0,0.0,7787.0,1201.0,0.0,7001.0,10221.0
2020-01-04 05:00:00+01:00,15728.0,0.0,3435.0,0.0,7786.0,1207.0,0.0,6962.0,10397.0
2020-01-04 06:00:00+01:00,16080.0,0.0,3526.0,0.0,7786.0,1210.0,0.0,7113.0,10639.0
2020-01-04 07:00:00+01:00,16599.0,0.0,3900.0,0.0,7787.0,1220.0,0.0,7159.0,11059.0
2020-01-04 08:00:00+01:00,17339.0,0.0,4397.0,0.0,7787.0,1213.0,0.0,7222.0,11619.0
2020-01-04 09:00:00+01:00,17923.0,0.0,4863.0,0.0,7787.0,1215.0,0.0,7183.0,12046.0
2020-01-04 10:00:00+01:00,18377.0,0.0,5157.0,0.0,7789.0,1227.0,0.0,7124.0,12281.0
2020-01-04 11:00:00+01:00,18222.0,0.0,5230.0,0.0,7789.0,1230.0,0.0,7179.0,12409.0
2020-01-04 12:00:00+01:00,18132.0,0.0,5181.0,0.0,7788.0,1232.0,0.0,7181.0,12362.0
2020-01-04 13:00:00+01:00,18012.0,0.0,5214.0,0.0,7787.0,1220.0,0.0,7115.0,12329.0
2020-01-04 14:00:00+01:00,18051.0,0.0,5373.0,0.0,7789.0,1202.0,0.0,7111.0,12484.0
2020-01-04 15:00:00+01:00,18503.0,0.0,5507.0,0.0,7788.0,1216.0,0.0,7102.0,12609.0
2020-01-04 16:00:00+01:00,19179.0,0.0,6304.0,0.0,7778.0,1249.0,0.0,7048.0,13352.0
2020-01-04 17:00:00+01:00,19582.0,0.0,7306.0,0.0,7752.0,1257.0,0.0,6914.0,14220.0
2020-01-04 18:00:00+01:00,19444.0,0.0,7583.0,0.0,7748.0,1229.0,0.0,6748.0,14331.0
2020-01-04 19:00:00+01:00,19369.0,0.0,7459.0,0.0,7767.0,1226.0,0.0,6546.0,14005.0
2020-01-04 20:00:00+01:00,18690.0,0.0,6676.0,0.0,7777.0,1199.0,0.0,6290.0,12966.0
2020-01-04 21:00:00+01:00,18225.0,0.0,6486.0,0.0,7782.0,1178.0,0.0,5897.0,12383.0
2020-01-04 22:00:00+01:00,17663.0,0.0,5909.0,0.0,7780.0,1160.0,0.0,5550.0,11459.0
2020-01-04 23:00:00+01:00,17239.0,0.0,5333.0,0.0,7778.0,1154.0,0.0,5283.0,10616.0
2020-01-05 00:00:00+01:00,16763.0,0.0,4926.0,0.0,7775.0,1165.0,0.0,5017.0,9943.0
2020-01-05 01:00:00+01:00,16146.0,0.0,4819.0,0.0,7775.0,1154.0,0.0,4645.0,9464.0
2020-01-05 02:00:00+01:00,16043.0,0.0,4805.0,0.0,7776.0,1152.0,0.0,4227.0,9032.0
2020-01-05 03:00:00+01:00,16047.0,0.0,4951.0,0.0,7780.0,1152.0,0.0,3867.0,8818.0
2020-01-05 04:00:00+01:00,16059.0,0.0,5222.0,0.0,7781.0,1150.0,0.0,3542.0,8764.0
2020-01-05 05:00:00+01:00,16532.0,0.0,5644.0,0.0,7782.0,1164.0,0.0,3157.0,8801.0
2020-01-05 06:00:00+01:00,17033.0,0.0,6364.0,0.0,7783.0,1179.0,0.0,2833.0,9197.0
2020-01-05 07:00:00+01:00,17760.0,0.0,8099.0,0.0,7782.0,1188.0,0.0,2554.0,10653.0
2020-01-05 08:00:00+01:00,18169.0,0.0,8860.0,0.0,7784.0,1179.0,0.0,2325.0,11185.0
2020-01-05 09:00:00+01:00,19000.0,0.0,9560.0,0.0,7785.0,1178.0,0.0,2464.0,12024.0
2020-01-05 10:00:00+01:00,18912.0,0.0,9581.0,0.0,7784.0,1169.0,0.0,2745.0,12326.0
2020-01-05 11:00:00+01:00,18674.0,0.0,9324.0,0.0,7786.0,1200.0,0.0,3188.0,12512.0
2020-01-05 12:00:00+01:00,18586.0,0.0,9070.0,0.0,7786.0,1213.0,0.0,3801.0,12871.0
2020-01-05 13:00:00+01:00,18593.0,0.0,8951.0,0.0,7785.0,1214.0,0.0,4406.0,13357.0
2020-01-05 14:00:00+01:00,18681.0,0.0,8839.0,0.0,7786.0,1184.0,0.0,4907.0,13746.0
2020-01-05 15:00:00+01:00,18996.0,0.0,8832.0,0.0,7786.0,1218.0,0.0,5409.0,14241.0
2020-01-05 16:00:00+01:00,19290.0,0.0,8973.0,0.0,7785.0,1219.0,0.0,5649.0,14622.0
2020-01-05 17:00:00+01:00,19502.0,0.0,9257.0,0.0,7785.0,1225.0,0.0,5865.0,15122.0
2020-01-05 18:00:00+01:00,19292.0,0.0,9020.0,0.0,7784.0,1230.0,0.0,6020.0,15040.0
2020-01-05 19:00:00+01:00,18870.0,0.0,8731.0,0.0,7784.0,1233.0,0.0,6074.0,14805.0
2020-01-05 20:00:00+01:00,18044.0,0.0,8192.0,0.0,7785.0,1185.0,0.0,5911.0,14103.0
2020-01-05 21:00:00+01:00,17394.0,0.0,7687.0,0.0,7787.0,1158.0,0.0,5935.0,13622.0
2020-01-05 22:00:00+01:00,16588.0,0.0,6367.0,0.0,7783.0,1199.0,0.0,5804.0,12171.0
2020-01-05 23:00:00+01:00,15945.0,0.0,5439.0,0.0,7781.0,1229.0,0.0,5789.0,11228.0
2020-01-06 00:00:00+01:00,15565.0,0.0,4883.0,0.0,7779.0,1295.0,0.0,5692.0,10575.0
2020-01-06 01:00:00+01:00,14977.0,0.0,4647.0,0.0,7781.0,1269.0,0.0,5365.0,10012.0
2020-01-06 02:00:00+01:00,14503.0,0.0,4679.0,0.0,7780.0,1263.0,0.0,5181.0,9860.0
2020-01-06 03:00:00+01:00,14366.0,0.0,4765.0,0.0,7778.0,1256.0,0.0,5113.0,9878.0
2020-01-06 04:00:00+01:00,14369.0,0.0,4882.0,0.0,7779.0,1246.0,0.0,4943.0,9825.0
2020-01-06 05:00:00+01:00,14720.0,0.0,5612.0,0.0,7781.0,1282.0,0.0,4711.0,10323.0
2020-01-06 06:00:00+01:00,15457.0,0.0,6175.0,0.0,7779.0,1287.0,0.0,4672.0,10847.0
2020-01-06 07:00:00+01:00,16205.0,0.0,7502.0,0.0,7779.0,1309.0,0.0,4442.0,11944.0
2020-01-06 08:00:00+01:00,16947.0,0.0,8400.0,0.0,7779.0,1352.0,0.0,4278.0,12678.0
2020-01-06 09:00:00+01:00,17487.0,0.0,9258.0,0.0,7776.0,1334.0,0.0,4254.0,13512.0
2020-01-06 10:00:00+01:00,17752.0,0.0,9418.0,0.0,7776.0,1346.0,0.0,3939.0,13357.0
2020-01-06 11:00:00+01:00,18186.0,0.0,9363.0,0.0,7777.0,1324.0,0.0,3978.0,13341.0
2020-01-06 12:00:00+01:00,18116.0,0.0,9360.0,0.0,7776.0,1307.0,0.0,3841.0,13201.0
2020-01-06 13:00:00+01:00,17933.0,0.0,9354.0,0.0,7773.0,1312.0,0.0,3815.0,13169.0
2020-01-06 14:00:00+01:00,18033.0,0.0,9363.0,0.0,7771.0,1297.0,0.0,3932.0,13295.0
2020-01-06 15:00:00+01:00,18749.0,0.0,9447.0,0.0,7771.0,1302.0,0.0,4121.0,13568.0
2020-01-06 16:00:00+01:00,19342.0,0.0,9589.0,0.0,7772.0,1303.0,0.0,4025.0,13614.0
2020-01-06 17:00:00+01:00,19372.0,0.0,9846.0,0.0,7772.0,1299.0,0.0,3986.0,13832.0
2020-01-06 18:00:00+01:00,18583.0,0.0,9594.0,0.0,7776.0,1293.0,0.0,3736.0,13330.0
2020-01-06 19:00:00+01:00,17834.0,0.0,9264.0,0.0,7777.0,1284.0,0.0,3728.0,12992.0
2020-01-06 20:00:00+01:00,17456.0,0.0,8883.0,0.0,7780.0,1256.0,0.0,3890.0,12773.0
2020-01-06 21:00:00+01:00,16964.0,0.0,8245.0,0.0,7779.0,1237.0,0.0,4152.0,12397.0
2020-01-06 22:00:00+01:00,15974.0,0.0,6911.0,0.0,7778.0,1219.0,0.0,4241.0,11152.0
2020-01-06 23:00:00+01:00,15527.0,0.0,6141.0,0.0,7778.0,1219.0,0.0,4433.0,10574.0
2020-01-07 00:00:00+01:00,15010.0,0.0,5537.0,0.0,7778.0,1191.0,0.0,4431.0,9968.0
2020-01-07 01:00:00+01:00,14486.0,0.0,5005.0,0.0,7780.0,1214.0,0.0,4284.0,9289.0
2020-01-07 02:00:00+01:00,14402.0,0.0,4941.0,0.0,7781.0,1214.0,0.0,4376.0,9317.0
2020-01-07 03:00:00+01:00,14347.0,0.0,5005.0,0.0,7779.0,1222.0,0.0,4335.0,9340.0
2020-01-07 04:00:00+01:00,14522.0,0.0,5261.0,0.0,7778.0,1225.0,0.0,4289.0,9550.0
2020-01-07 05:00:00+01:00,15815.0,0.0,6972.0,0.0,7777.0,1246.0,0.0,4294.0,11266.0
2020-01-07 06:00:00+01:00,17564.0,0.0,9132.0,0.0,7776.0,1272.0,0.0,4238.0,13370.0
2020-01-07 07:00:00+01:00,19107.0,0.0,9836.0,0.0,7775.0,1305.0,0.0,4191.0,14027.0
2020-01-07 08:00:00+01:00,19802.0,0.0,9973.0,0.0,7777.0,1307.0,0.0,3985.0,13958.0
2020-01-07 09:00:00+01:00,19692.0,0.0,9994.0,0.0,7776.0,1279.0,0.0,3956.0,13950.0
2020-01-07 10:00:00+01:00,19887.0,0.0,10081.0,0.0,7777.0,1289.0,0.0,3891.0,13972.0
2020-01-07 11:00:00+01:00,19967.0,0.0,10145.0,0.0,7781.0,1280.0,0.0,3794.0,13939.0
2020-01-07 12:00:00+01:00,20178.0,0.0,10212.0,0.0,7777.0,1282.0,0.0,3755.0,13967.0
2020-01-07 13:00:00+01:00,20227.0,0.0,10248.0,0.0,7777.0,1285.0,0.0,3771.0,14019.0
2020-01-07 14:00:00+01:00,19875.0,0.0,10256.0,0.0,7778.0,1285.0,0.0,3687.0,13943.0
2020-01-07 15:00:00+01:00,19820.0,0.0,10233.0,0.0,7779.0,1248.0,0.0,3844.0,14077.0
2020-01-07 16:00:00+01:00,19990.0,0.0,10241.0,0.0,7780.0,1254.0,0.0,4393.0,14634.0
2020-01-07 17:00:00+01:00,19733.0,0.0,10044.0,0.0,7779.0,1262.0,0.0,4824.0,14868.0
2020-01-07 18:00:00+01:00,19338.0,0.0,9851.0,0.0,7781.0,1262.0,0.0,5263.0,15114.0
2020-01-07 19:00:00+01:00,18931.0,0.0,9276.0,0.0,7783.0,1246.0,0.0,5825.0,15101.0
2020-01-07 20:00:00+01:00,18316.0,0.0,7885.0,0.0,7783.0,1213.0,0.0,6257.0,14142.0
2020-01-07 21:00:00+01:00,17480.0,0.0,6756.0,0.0,7781.0,1195.0,0.0,6590.0,13346.0
2020-01-07 22:00:00+01:00,16596.0,0.0,5920.0,0.0,7782.0,1180.0,0.0,6844.0,12764.0
2020-01-07 23:00:00+01:00,15918.0,0.0,5023.0,0.0,7782.0,1172.0,0.0,7023.0,12046.0
2020-01-08 00:00:00+01:00,15649.0,0.0,4288.0,0.0,7780.0,1170.0,0.0,7220.0,11508.0
2020-01-08 01:00:00+01:00,15311.0,0.0,3501.0,0.0,7780.0,1154.0,0.0,7269.0,10770.0
2020-01-08 02:00:00+01:00,15172.0,0.0,3204.0,0.0,7781.0,1142.0,0.0,7310.0,10514.0
2020-01-08 03:00:00+01:00,15239.0,0.0,3230.0,0.0,7783.0,1146.0,0.0,7238.0,10468.0
2020-01-08 04:00:00+01:00,15264.0,0.0,3449.0,0.0,7783.0,1150.0,0.0,7155.0,10604.0
2020-01-08 05:00:00+01:00,15665.0,0.0,4591.0,0.0,7782.0,1160.0,0.0,7113.0,11704.0
2020-01-08 06:00:00+01:00,17492.0,0.0,6349.0,0.0,7780.0,1242.0,0.0,7032.0,13381.0
2020-01-08 07:00:00+01:00,19101.0,0.0,8167.0,0.0,7782.0,1272.0,0.0,7037.0,15204.0
2020-01-08 08:00:00+01:00,19777.0,0.0,8785.0,0.0,7784.0,1292.0,0.0,6981.0,15766.0
2020-01-08 09:00:00+01:00,19596.0,0.0,8450.0,0.0,7783.0,1303.0,0.0,6900.0,15350.0
